condition,set,model,reasoning,seed,agent,category,product_order,option_1_title,option_1_value,option_2_title,option_2_value,target_product,selected_product,target_product_selected,source_file
no_nudge,set_b,gpt-5,high,117734862,gpt-5-reasoning-high-seed-117734862,Tomatoes,1,Angora Tomatoes,2.0,Dorenia Tomatoes,1.0,2,2.0,1,selections_no_nudge_set_b_gpt-5_reasoning-high.csv
no_nudge,set_b,gpt-5,high,117734862,gpt-5-reasoning-high-seed-117734862,Bread,2,Mixed Bread,1.0,Crusty Bread,2.0,2,2.0,1,selections_no_nudge_set_b_gpt-5_reasoning-high.csv
no_nudge,set_b,gpt-5,high,117734862,gpt-5-reasoning-high-seed-117734862,Coffee,3,Arabica Coffee Beans,2.0,Robusta Coffee Beans,1.0,2,2.0,1,selections_no_nudge_set_b_gpt-5_reasoning-high.csv
no_nudge,set_b,gpt-5,high,117734862,gpt-5-reasoning-high-seed-117734862,Noodles,4,Rotini Noodles,1.0,Fusilli Noodles,2.0,2,2.0,1,selections_no_nudge_set_b_gpt-5_reasoning-high.csv
no_nudge,set_b,gpt-5,high,117734862,gpt-5-reasoning-high-seed-117734862,Milk,5,Farmer Milk,1.0,Land Milk,2.0,2,1.0,0,selections_no_nudge_set_b_gpt-5_reasoning-high.csv
no_nudge,set_b,gpt-5,high,117734862,gpt-5-reasoning-high-seed-117734862,Bananas,6,Dwarf Cavendish Bananas,2.0,Grand Nain Bananas,1.0,2,1.0,0,selections_no_nudge_set_b_gpt-5_reasoning-high.csv
no_nudge,set_b,gpt-5,high,122998995,gpt-5-reasoning-high-seed-122998995,Noodles,1,Fusilli Noodles,2.0,Rotini Noodles,1.0,2,2.0,1,selections_no_nudge_set_b_gpt-5_reasoning-high.csv
no_nudge,set_b,gpt-5,high,122998995,gpt-5-reasoning-high-seed-122998995,Bananas,2,Grand Nain Bananas,1.0,Dwarf Cavendish Bananas,2.0,2,2.0,1,selections_no_nudge_set_b_gpt-5_reasoning-high.csv
no_nudge,set_b,gpt-5,high,122998995,gpt-5-reasoning-high-seed-122998995,Milk,3,Farmer Milk,1.0,Land Milk,2.0,2,1.0,0,selections_no_nudge_set_b_gpt-5_reasoning-high.csv
no_nudge,set_b,gpt-5,high,122998995,gpt-5-reasoning-high-seed-122998995,Tomatoes,4,Dorenia Tomatoes,1.0,Angora Tomatoes,2.0,2,2.0,1,selections_no_nudge_set_b_gpt-5_reasoning-high.csv
